epoch,HR@10,NDCG@10,loss,run
46,0.649,0.3911,0.1988,3
47,0.6501,0.3901,0.1984,3
48,0.6522,0.3905,0.198,3
49,0.6564,0.3904,0.1992,3
50,0.6543,0.3914,0.1979,3
0,0.1029,0.044,,4
1,0.3871,0.2148,0.4514,4
2,0.4846,0.2782,0.3385,4
3,0.5493,0.3127,0.3026,4
4,0.5705,0.3196,0.2846,4
5,0.6023,0.339,0.2708,4
6,0.6278,0.3513,0.259,4
7,0.6288,0.3523,0.2491,4
8,0.6363,0.3619,0.2419,4
9,0.6437,0.3674,0.2361,4
10,0.6469,0.3691,0.2305,4
11,0.649,0.3747,0.2265,4
12,0.6532,0.3819,0.2225,4
13,0.6543,0.3779,0.2193,4
14,0.6554,0.3823,0.2171,4
15,0.6564,0.3768,0.2147,4
16,0.649,0.3763,0.2132,4
17,0.6479,0.374,0.2113,4
18,0.6543,0.3761,0.2114,4
19,0.6426,0.3743,0.2092,4
20,0.6469,0.3791,0.2084,4
21,0.6575,0.3796,0.2076,4
22,0.6511,0.3757,0.2064,4
23,0.649,0.3758,0.2058,4
24,0.649,0.3779,0.2058,4
25,0.6458,0.3792,0.2054,4
26,0.6416,0.3766,0.2044,4
27,0.6373,0.3738,0.2043,4
28,0.6363,0.3696,0.2038,4
29,0.6501,0.3767,0.2041,4
30,0.6501,0.3761,0.2026,4
31,0.6501,0.3769,0.2027,4
32,0.649,0.3816,0.202,4
33,0.649,0.3761,0.2017,4
34,0.6448,0.378,0.2011,4
35,0.649,0.3814,0.2012,4
36,0.6522,0.3814,0.2007,4
37,0.6532,0.3803,0.201,4
38,0.649,0.3796,0.2009,4
39,0.6426,0.3764,0.2,4
40,0.6511,0.3846,0.1997,4
41,0.6532,0.3811,0.2005,4
42,0.6522,0.3787,0.199,4
43,0.6585,0.3839,0.1993,4
44,0.649,0.3757,0.1993,4
45,0.6458,0.3729,0.1994,4
46,0.6458,0.3736,0.1989,4
47,0.6458,0.3754,0.1982,4
48,0.6458,0.376,0.1988,4
49,0.6554,0.3868,0.1982,4
50,0.6394,0.3758,0.1981,4
0,0.0965,0.0427,,5
1,0.4284,0.2351,0.4557,5
2,0.5292,0.2991,0.3203,5
3,0.5536,0.3108,0.2924,5
4,0.5748,0.3271,0.2792,5
5,0.6034,0.3417,0.2676,5
6,0.6204,0.3542,0.2577,5
7,0.6267,0.361,0.2482,5
8,0.6278,0.364,0.2409,5
9,0.6373,0.3732,0.2354,5
10,0.6437,0.3694,0.2292,5
11,0.6405,0.3737,0.2245,5
12,0.6469,0.373,0.2212,5
13,0.6416,0.3728,0.2186,5
14,0.6437,0.3762,0.2163,5
15,0.6554,0.3776,0.2151,5
16,0.6543,0.3731,0.2129,5
17,0.6511,0.3697,0.2117,5
18,0.6522,0.3814,0.2104,5
19,0.6628,0.3807,0.2093,5
20,0.6564,0.3803,0.2086,5
21,0.6532,0.38,0.208,5
22,0.6596,0.3841,0.2067,5
23,0.6702,0.3853,0.2066,5
24,0.6596,0.3866,0.2058,5
25,0.667,0.3878,0.2055,5
26,0.6617,0.385,0.2047,5
27,0.6543,0.3803,0.2044,5
28,0.6617,0.3858,0.2041,5
29,0.6554,0.3788,0.2035,5
30,0.6585,0.3869,0.2031,5
31,0.6628,0.3852,0.2031,5
32,0.6617,0.3862,0.2021,5
33,0.6501,0.3798,0.2022,5
34,0.6522,0.3807,0.2024,5
35,0.6575,0.3871,0.2014,5
36,0.6713,0.3914,0.2018,5
37,0.6564,0.3887,0.2004,5
38,0.6607,0.3881,0.2008,5
39,0.6596,0.3909,0.2005,5
40,0.6638,0.3884,0.2009,5
41,0.6596,0.3897,0.1999,5
42,0.6585,0.384,0.1999,5
43,0.6585,0.3821,0.2,5
44,0.6554,0.3828,0.1991,5
45,0.6501,0.3803,0.1991,5
46,0.6394,0.375,0.1988,5
47,0.649,0.3816,0.1986,5
48,0.6543,0.3844,0.1984,5
49,0.6522,0.3824,0.1982,5
50,0.6501,0.3822,0.1982,5
0,0.1113,0.0514,,6
1,0.4051,0.2229,0.4537,6
2,0.5154,0.2902,0.3284,6
3,0.5461,0.3128,0.3003,6
4,0.5673,0.3182,0.2856,6
5,0.597,0.3345,0.2753,6
6,0.6098,0.3456,0.2642,6
7,0.6288,0.3535,0.2543,6
8,0.6352,0.36,0.2446,6
9,0.6373,0.3659,0.2365,6
10,0.6458,0.3727,0.2299,6
11,0.6501,0.3735,0.226,6
12,0.6532,0.3794,0.2217,6
13,0.6543,0.3792,0.2186,6
14,0.6458,0.3763,0.2158,6
15,0.6554,0.3805,0.2135,6
16,0.6607,0.3817,0.2125,6
17,0.6607,0.3838,0.211,6
18,0.6681,0.3876,0.2088,6
19,0.6596,0.3833,0.2086,6
20,0.6596,0.3835,0.2084,6
21,0.6681,0.3884,0.2063,6
22,0.6596,0.3844,0.2059,6
23,0.6575,0.3811,0.2055,6
24,0.6596,0.3852,0.2051,6
25,0.6628,0.3845,0.2041,6
