epoch,HR@10,NDCG@10,loss,run
47,0.6257,0.3698,0.1733,3
48,0.6331,0.3725,0.1721,3
49,0.6341,0.3765,0.1717,3
50,0.631,0.3778,0.1712,3
0,0.0933,0.0428,,4
1,0.5037,0.2815,0.3697,4
2,0.5854,0.3332,0.2909,4
3,0.6246,0.3542,0.2634,4
4,0.6394,0.3615,0.2483,4
5,0.649,0.3733,0.2382,4
6,0.6437,0.3729,0.2305,4
7,0.6564,0.3818,0.225,4
8,0.6649,0.3863,0.2203,4
9,0.6649,0.3808,0.2163,4
10,0.6755,0.3902,0.2133,4
11,0.6734,0.3866,0.2102,4
12,0.667,0.3882,0.208,4
13,0.6617,0.381,0.2065,4
14,0.6617,0.386,0.2045,4
15,0.6649,0.3861,0.202,4
16,0.6575,0.3808,0.2008,4
17,0.6691,0.3853,0.1996,4
18,0.6607,0.379,0.1977,4
19,0.6607,0.3828,0.1959,4
20,0.6532,0.3829,0.1957,4
21,0.6543,0.3808,0.1932,4
22,0.6532,0.381,0.1922,4
23,0.6532,0.3835,0.1903,4
24,0.6501,0.3797,0.1899,4
25,0.6479,0.3768,0.1881,4
26,0.6469,0.3869,0.1881,4
27,0.6426,0.3854,0.1863,4
28,0.6532,0.3881,0.1855,4
29,0.631,0.3783,0.1846,4
30,0.6341,0.3789,0.1833,4
31,0.6363,0.3797,0.1824,4
32,0.6352,0.3729,0.1814,4
33,0.6384,0.3771,0.1804,4
34,0.6437,0.3805,0.1792,4
35,0.6394,0.3751,0.1794,4
36,0.6416,0.3769,0.1782,4
37,0.6405,0.3703,0.1769,4
38,0.6426,0.3773,0.1769,4
39,0.6416,0.3747,0.1759,4
40,0.632,0.3736,0.175,4
41,0.6278,0.3727,0.1743,4
42,0.6278,0.3674,0.1736,4
43,0.6278,0.3719,0.1728,4
44,0.6352,0.3678,0.172,4
45,0.6278,0.3707,0.1711,4
46,0.6299,0.3701,0.1707,4
47,0.6299,0.3705,0.17,4
48,0.632,0.3673,0.1702,4
49,0.6331,0.3663,0.168,4
50,0.6341,0.3655,0.1686,4
0,0.1007,0.0455,,5
1,0.4804,0.2803,0.3755,5
2,0.5907,0.3357,0.2905,5
3,0.6225,0.3561,0.2617,5
4,0.6479,0.365,0.2479,5
5,0.6564,0.3732,0.2386,5
6,0.6713,0.3781,0.2302,5
7,0.6532,0.3765,0.2243,5
8,0.666,0.383,0.2199,5
9,0.6691,0.3818,0.2156,5
10,0.6575,0.3771,0.2127,5
11,0.6766,0.3878,0.2094,5
12,0.667,0.384,0.2073,5
13,0.6628,0.382,0.2055,5
14,0.667,0.3848,0.204,5
15,0.6723,0.3907,0.202,5
16,0.667,0.3864,0.2004,5
