epoch,HR_mean,HR_std,NDCG_mean,NDCG_std,Loss_mean,Loss_std
0,0.10464999999999998,0.008664390726800508,0.0474,0.003711543554312085,,
1,0.49649,0.007236857820291292,0.2845,0.004597583906551125,0.37232999999999994,0.002050501293721994
2,0.58697,0.006427553534934119,0.33394,0.004667428509242432,0.29078,0.0014489843186023732
3,0.61919,0.007709078342375894,0.35318,0.004678508784264963,0.26385,0.0018662201846989341
4,0.6423099999999999,0.007633908275290935,0.36533,0.005203001270634308,0.24859,0.001232387024346554
5,0.6523800000000001,0.006714462003764686,0.3740200000000001,0.002858049062637736,0.23796,0.0009191783770786253
6,0.6592800000000001,0.01001463373713131,0.37889999999999996,0.00533687382483624,0.22974999999999998,0.0007891627067834522
7,0.65833,0.005145882928236034,0.38332,0.004755534787078217,0.2238,0.001009950493836209
8,0.66353,0.0060622786328428345,0.38431000000000004,0.004946704851604636,0.2186,0.001130388330520884
9,0.66524,0.00462654178505816,0.38574,0.005371157541287852,0.21458,0.0012263767773404767
10,0.66618,0.00717244728108897,0.38736,0.0064895129075900285,0.21149,0.0010577229210798895
11,0.6683000000000001,0.004665237876512258,0.38727999999999996,0.004263488399577671,0.20867000000000005,0.0009989438867568498
12,0.66806,0.004461489537014414,0.38728999999999997,0.003976444531376119,0.20620000000000002,0.0011254628677422737
13,0.66384,0.006109591730313196,0.38521,0.005127800048103798,0.20444999999999997,0.0013184586961044026
14,0.66416,0.007105741027898176,0.38611999999999996,0.0033707236282106644,0.20254000000000003,0.0012980326994682658
15,0.6637500000000001,0.008259304517398015,0.38588,0.002926051567860322,0.20075000000000004,0.0012057731498457311
16,0.65961,0.011299601762894127,0.38503999999999994,0.004167386604469392,0.19929,0.0013245124889306758
17,0.66235,0.0037648225574240714,0.38491,0.002509293836033459,0.19801,0.001361739084161618
18,0.66172,0.0068384208703472045,0.38615,0.004933840064065493,0.19669,0.0013987693003335302
19,0.6596099999999999,0.009463549956426407,0.38348,0.004661616314827608,0.19555000000000003,0.001113802296440252
20,0.65969,0.0075207047542102156,0.3844,0.004650686926561375,0.19427999999999998,0.0011886500279261797
21,0.6561,0.005561574517266736,0.38219000000000003,0.0052322610366413985,0.19288999999999998,0.0012493998559308347
22,0.65684,0.004359204820453675,0.38194999999999996,0.004432268042436065,0.19182000000000002,0.0013742068419435442
23,0.65567,0.009572652018467298,0.38169,0.0036010646573849123,0.19050999999999998,0.0013101738646284814
24,0.6565200000000001,0.008953807383826565,0.38117,0.00361326260693388,0.18960000000000002,0.0011990737165736606
25,0.65196,0.009291118817929765,0.37970000000000004,0.004666190451892565,0.18827999999999998,0.0012299954832798695
26,0.65249,0.010359263165560234,0.38041,0.004887728397618765,0.18760000000000002,0.0011362707032706127
27,0.64921,0.008556537461691688,0.38083000000000006,0.004714764044997365,0.18671000000000001,0.0012870724748651786
28,0.65028,0.008012323841017212,0.38075000000000003,0.0054742325692486125,0.18574,0.0012048051940274681
29,0.6478400000000001,0.010541262838114915,0.37973,0.005421367191237096,0.1851,0.0014621141466307653
30,0.65005,0.010071770229485766,0.38049999999999995,0.005918145355129817,0.18411,0.001398769300333538
31,0.64922,0.00898069534551133,0.38066999999999995,0.0049893330660965496,0.18343,0.0011972654026757967
32,0.64603,0.008421407905517415,0.37778,0.005389454724016372,0.18266,0.001484138358330065
33,0.64625,0.008614361393755352,0.37821,0.0066797288700798175,0.18176,0.0016276772816911005
34,0.6456000000000001,0.005671174677456383,0.37889000000000006,0.004637396300128401,0.18108000000000002,0.0018866784451929187
35,0.64517,0.007225425785223831,0.37898,0.00760201727613578,0.18019000000000002,0.0016953858951086497
36,0.64656,0.0073601328490425924,0.37904,0.006310872452451496,0.17939,0.0015459265470548415
37,0.64497,0.008518744038882708,0.37910000000000005,0.005849786320883853,0.17873,0.0017288724649319838
38,0.64517,0.008301679883547007,0.37875999999999993,0.005447976178769901,0.17797999999999997,0.001780012484350726
39,0.6457200000000001,0.011113435312469498,0.37775,0.006281940606037097,0.17733,0.0016586808681064021
40,0.6437899999999999,0.01235605564535506,0.37661,0.0036271966524515234,0.1769,0.0020596655607700745
41,0.6409400000000001,0.007086168060226759,0.37516,0.004066994522303235,0.17598,0.0018972494710911166
42,0.64073,0.0075957663646709726,0.37523000000000006,0.006994609035218164,0.17545,0.002071633815776003
43,0.63848,0.007901448531053595,0.37389,0.005291807084751116,0.17474000000000003,0.0021040701297986974
44,0.6373200000000001,0.010704184021005845,0.37303,0.004544361585769988,0.17429,0.0020157435903959222
45,0.64485,0.010529033932681375,0.3763,0.005587088289579444,0.17351,0.002012433573782969
46,0.64368,0.008827079547241743,0.37449,0.005709923136279714,0.17306000000000002,0.0020966640169564677
47,0.6382800000000001,0.009219038272329,0.37288,0.004330460586229695,0.17241,0.0023278268358659826
48,0.6377400000000001,0.005125578558129371,0.37290999999999996,0.0056600844124054805,0.17184,0.0020194608741498873
49,0.6395500000000001,0.010165983583609739,0.37319,0.006616721242428176,0.17109999999999997,0.002303137956016629
50,0.63827,0.008465492044503713,0.37342,0.006621647998966906,0.17071,0.002269826229276403
