epoch,HR@10,NDCG@10,loss,run
0,0.1368,0.0604,,1
1,0.3955,0.2157,0.5032,1
2,0.4708,0.2623,0.4535,1
3,0.5366,0.3017,0.4013,1
4,0.5578,0.315,0.3726,1
5,0.5811,0.3195,0.3578,1
6,0.5928,0.3308,0.3437,1
7,0.6002,0.336,0.332,1
8,0.6151,0.3477,0.3227,1
9,0.614,0.352,0.3135,1
10,0.6214,0.3595,0.3042,1
0,0.0785,0.0369,,2
1,0.4125,0.2266,0.4653,2
2,0.5292,0.3001,0.3942,2
3,0.5779,0.3297,0.3499,2
4,0.6172,0.3459,0.3296,2
5,0.6172,0.3533,0.3167,2
6,0.6257,0.3562,0.3048,2
7,0.6257,0.359,0.2975,2
8,0.6469,0.3643,0.2897,2
9,0.6394,0.3663,0.2815,2
10,0.6448,0.368,0.2752,2
0,0.1007,0.0459,,3
1,0.4539,0.251,0.4117,3
2,0.5461,0.3092,0.341,3
3,0.5949,0.335,0.3096,3
4,0.6172,0.3508,0.2912,3
5,0.6278,0.3533,0.2797,3
6,0.6426,0.3657,0.27,3
7,0.6416,0.3676,0.263,3
8,0.6341,0.3674,0.2572,3
9,0.6405,0.3692,0.2516,3
10,0.6479,0.3772,0.246,3
0,0.1082,0.0483,,4
1,0.4793,0.2658,0.3683,4
2,0.5652,0.3128,0.2998,4
3,0.6013,0.338,0.2746,4
4,0.6182,0.3483,0.2603,4
5,0.6448,0.3609,0.2505,4
6,0.6511,0.3742,0.2411,4
7,0.6554,0.3792,0.235,4
8,0.6585,0.3798,0.229,4
9,0.6543,0.3768,0.224,4
10,0.6596,0.3814,0.2186,4
0,0.0954,0.0388,,5
1,0.5027,0.2853,0.3304,5
2,0.5843,0.3329,0.2691,5
3,0.5949,0.3406,0.2486,5
4,0.6341,0.3572,0.2363,5
5,0.6373,0.3711,0.2258,5
6,0.6501,0.3821,0.2192,5
7,0.6628,0.3864,0.2128,5
8,0.6617,0.3882,0.2078,5
9,0.6554,0.3801,0.2032,5
10,0.6617,0.3843,0.1994,5
0,0.1124,0.0493,,6
1,0.5101,0.2927,0.3034,6
2,0.5822,0.3299,0.2453,6
3,0.6172,0.3495,0.2263,6
4,0.6278,0.3636,0.2146,6
5,0.6405,0.3713,0.2072,6
6,0.632,0.3716,0.2014,6
7,0.6458,0.377,0.1955,6
8,0.6532,0.3825,0.1919,6
9,0.6617,0.3839,0.1875,6
10,0.6638,0.3867,0.1837,6
0,0.1166,0.0521,,7
1,0.5355,0.3004,0.2768,7
2,0.5949,0.3352,0.2258,7
3,0.6151,0.352,0.2079,7
4,0.6416,0.3655,0.1982,7
5,0.6479,0.375,0.1906,7
6,0.6575,0.381,0.1855,7
7,0.6511,0.3841,0.1815,7
8,0.6426,0.3808,0.1768,7
9,0.6649,0.3867,0.1724,7
10,0.6564,0.3861,0.169,7
0,0.0923,0.0426,,8
1,0.5408,0.2979,0.2599,8
2,0.6034,0.3371,0.2099,8
3,0.6108,0.3521,0.1941,8
4,0.632,0.3608,0.186,8
5,0.6426,0.3731,0.1802,8
6,0.6458,0.3769,0.1756,8
7,0.649,0.3732,0.1711,8
8,0.649,0.3751,0.1682,8
9,0.6596,0.3824,0.1642,8
10,0.6543,0.3787,0.161,8
0,0.1145,0.0491,,9
1,0.5313,0.3046,0.2385,9
2,0.6151,0.3445,0.1944,9
3,0.6331,0.3605,0.1798,9
4,0.6437,0.3697,0.1717,9
5,0.6458,0.3772,0.1656,9
6,0.6575,0.3814,0.1608,9
7,0.6585,0.3819,0.1563,9
8,0.6373,0.372,0.1526,9
9,0.6448,0.3805,0.1491,9
10,0.6522,0.3809,0.1457,9
0,0.1103,0.0515,,10
1,0.5514,0.3069,0.2238,10
2,0.6013,0.3376,0.1849,10
3,0.6394,0.3608,0.1721,10
4,0.6426,0.3708,0.1639,10
5,0.6575,0.3789,0.1575,10
6,0.6691,0.3834,0.153,10
7,0.667,0.3865,0.1493,10
8,0.6575,0.3759,0.1459,10
9,0.6628,0.3908,0.1425,10
10,0.6607,0.3844,0.1395,10
