epoch,HR_mean,HR_std,NDCG_mean,NDCG_std,Loss_mean,Loss_std
0,0.10657000000000003,0.015911843946500286,0.04748999999999999,0.006868842697281687,,
1,0.4913,0.05480180451205761,0.27469000000000005,0.03333574824585629,0.33813000000000004,0.09654463619372014
2,0.56925,0.043711815082169474,0.32016,0.02492523041239764,0.28179,0.08992021710630176
3,0.60212,0.029449006774422817,0.34199,0.017626649646991264,0.25642,0.07679277743815927
4,0.62322,0.025225066897830103,0.35476,0.016442438316070344,0.24243999999999993,0.07020850217586028
5,0.63425,0.02172276072080462,0.36335999999999996,0.01800772673666008,0.23316000000000003,0.06717613994401415
6,0.6424200000000001,0.021506319484695127,0.37033000000000005,0.01629321944859272,0.22551000000000002,0.06380194093181389
7,0.64571,0.019807823931186637,0.37309000000000003,0.015680097080198314,0.21939999999999998,0.061646284920053716
8,0.64559,0.014057931727122773,0.3733699999999999,0.01148893670740102,0.21417999999999998,0.05967783508137675
9,0.64974,0.015590324634920903,0.37687,0.011466671511626897,0.20895000000000002,0.057801369649285415
10,0.65228,0.012453004992102642,0.37871999999999995,0.008693011241476934,0.20423,0.05592902347320815
