Run,Config,Pretrain,HR@10,NDCG@10
1,4 Layers,0,0.6628,0.3776
2,4 Layers,0,0.6649,0.395
3,4 Layers,0,0.6691,0.3869
4,4 Layers,0,0.6511,0.3804
5,4 Layers,0,0.6628,0.3868
6,4 Layers,0,0.6713,0.3921
7,4 Layers,0,0.6713,0.3859
8,4 Layers,0,0.6872,0.393
9,4 Layers,0,0.6713,0.3826
10,4 Layers,0,0.6564,0.3821
