epoch,HR@10,NDCG@10,loss,run
47,0.6458,0.3796,0.2351,3
48,0.6511,0.3823,0.2356,3
49,0.6501,0.3813,0.2354,3
50,0.6543,0.382,0.2349,3
0,0.0954,0.0407,,4
1,0.4401,0.2448,0.4581,4
2,0.5027,0.2791,0.3282,4
3,0.5281,0.2945,0.3119,4
4,0.5419,0.3046,0.299,4
5,0.561,0.3124,0.2906,4
6,0.5748,0.3192,0.2849,4
7,0.5779,0.3233,0.2777,4
8,0.5981,0.336,0.2721,4
9,0.6151,0.3452,0.2655,4
10,0.6225,0.354,0.2606,4
11,0.6235,0.3565,0.2559,4
12,0.6299,0.3601,0.2522,4
13,0.6394,0.3645,0.249,4
14,0.6416,0.3657,0.2472,4
15,0.6341,0.3652,0.2453,4
16,0.649,0.3727,0.2442,4
17,0.649,0.3738,0.243,4
18,0.6458,0.3763,0.2428,4
19,0.6416,0.3696,0.2417,4
20,0.6469,0.3759,0.2411,4
21,0.6458,0.3734,0.2406,4
22,0.6532,0.3745,0.2399,4
23,0.6479,0.3728,0.2405,4
24,0.6543,0.3742,0.2399,4
25,0.6564,0.3754,0.2393,4
26,0.6564,0.3774,0.2387,4
27,0.6532,0.378,0.2383,4
28,0.6638,0.3807,0.2385,4
29,0.6522,0.3823,0.238,4
30,0.6543,0.3771,0.2376,4
31,0.6575,0.3781,0.2381,4
32,0.6554,0.379,0.2369,4
33,0.6554,0.3813,0.237,4
34,0.6554,0.3803,0.2373,4
35,0.6638,0.3835,0.2376,4
36,0.6607,0.3803,0.2369,4
37,0.6511,0.3796,0.2358,4
38,0.6543,0.3808,0.2362,4
39,0.6617,0.3839,0.2364,4
40,0.6543,0.3805,0.2362,4
41,0.6564,0.3886,0.2371,4
42,0.6575,0.387,0.2367,4
43,0.6607,0.3839,0.2367,4
44,0.6564,0.3881,0.2358,4
45,0.6596,0.3821,0.2361,4
46,0.6564,0.3814,0.2363,4
47,0.6543,0.3823,0.2356,4
48,0.6617,0.388,0.2355,4
49,0.6543,0.3796,0.2354,4
50,0.6532,0.3831,0.2354,4
0,0.0901,0.0378,,5
1,0.4178,0.2307,0.4607,5
2,0.492,0.275,0.3312,5
3,0.5217,0.2874,0.317,5
4,0.5387,0.2976,0.3061,5
5,0.5525,0.305,0.2932,5
6,0.5769,0.315,0.2847,5
7,0.5832,0.323,0.2774,5
8,0.5928,0.3302,0.2715,5
9,0.6045,0.3386,0.2658,5
10,0.6151,0.3467,0.2598,5
11,0.6214,0.3551,0.2556,5
12,0.6299,0.3549,0.2521,5
13,0.6363,0.3617,0.2494,5
14,0.6373,0.3638,0.2481,5
15,0.6394,0.3657,0.2461,5
16,0.6373,0.3666,0.2451,5
17,0.6373,0.369,0.2435,5
18,0.6363,0.3681,0.2433,5
19,0.6331,0.3685,0.2419,5
20,0.6405,0.3711,0.2421,5
21,0.6394,0.3685,0.2411,5
22,0.6384,0.3691,0.2407,5
23,0.6426,0.3692,0.2404,5
24,0.6448,0.3756,0.2395,5
25,0.6416,0.3756,0.2385,5
26,0.6469,0.3695,0.2388,5
27,0.6479,0.3787,0.2393,5
28,0.6416,0.3738,0.2385,5
29,0.6373,0.3714,0.2384,5
30,0.649,0.3731,0.238,5
31,0.6448,0.3761,0.2381,5
32,0.6426,0.3702,0.2371,5
33,0.6405,0.371,0.2378,5
34,0.6405,0.3728,0.2375,5
35,0.6426,0.3709,0.2372,5
36,0.6479,0.3739,0.2372,5
37,0.6426,0.3722,0.2364,5
38,0.6394,0.3719,0.2371,5
39,0.6405,0.3794,0.2373,5
40,0.649,0.379,0.2365,5
41,0.6532,0.3783,0.2361,5
42,0.6554,0.3831,0.2364,5
43,0.6416,0.3756,0.2363,5
44,0.6426,0.3756,0.2354,5
45,0.6469,0.3752,0.2359,5
46,0.6469,0.3788,0.2362,5
47,0.6532,0.3841,0.2367,5
48,0.6522,0.3806,0.235,5
49,0.6469,0.3745,0.2357,5
50,0.649,0.3769,0.2352,5
0,0.0891,0.0404,,6
1,0.3902,0.2156,0.4628,6
2,0.4677,0.2654,0.339,6
3,0.5196,0.2904,0.3121,6
4,0.544,0.3035,0.2966,6
5,0.5483,0.3102,0.2878,6
6,0.5832,0.3271,0.2815,6
7,0.597,0.3344,0.275,6
8,0.6055,0.3425,0.2684,6
9,0.6225,0.3535,0.2623,6
10,0.631,0.3572,0.2571,6
11,0.6331,0.3576,0.2543,6
12,0.6341,0.3622,0.2507,6
13,0.6373,0.3663,0.2496,6
14,0.6469,0.372,0.2469,6
15,0.6543,0.3702,0.2458,6
16,0.6628,0.3756,0.2435,6
17,0.6575,0.3778,0.2429,6
18,0.6575,0.3779,0.2414,6
19,0.6628,0.3811,0.241,6
20,0.6554,0.3782,0.2398,6
21,0.6522,0.3786,0.24,6
22,0.6532,0.3764,0.2394,6
23,0.6585,0.3812,0.2391,6
24,0.6543,0.3834,0.2381,6
25,0.6575,0.3817,0.2376,6
26,0.6501,0.3791,0.237,6
27,0.6469,0.3773,0.2372,6
28,0.6585,0.3816,0.2373,6
29,0.6596,0.3855,0.2367,6
30,0.6511,0.3814,0.2368,6
31,0.6543,0.3816,0.2359,6
32,0.6554,0.3844,0.2358,6
33,0.6522,0.3807,0.236,6
34,0.6469,0.3774,0.235,6
35,0.6554,0.3789,0.2353,6
36,0.6554,0.3804,0.2358,6
37,0.6543,0.3797,0.236,6
38,0.6448,0.3818,0.2348,6
39,0.6543,0.3817,0.2354,6
40,0.6458,0.3843,0.2355,6
41,0.6426,0.3789,0.2349,6
42,0.6554,0.3811,0.2345,6
43,0.6564,0.3853,0.2349,6
44,0.6596,0.3888,0.235,6
45,0.6522,0.3807,0.2346,6
46,0.6532,0.3844,0.2341,6
47,0.6532,0.3834,0.2345,6
48,0.6511,0.3822,0.234,6
49,0.649,0.3856,0.2343,6
50,0.6469,0.3848,0.2339,6
0,0.1039,0.0505,,7
1,0.3849,0.2114,0.4606,7
2,0.4104,0.2295,0.3489,7
3,0.4995,0.281,0.3294,7
4,0.5355,0.2998,0.3072,7
5,0.5567,0.3101,0.2907,7
6,0.5748,0.3196,0.2824,7
7,0.5832,0.3302,0.2748,7
8,0.6034,0.3405,0.2688,7
9,0.6098,0.3457,0.2647,7
10,0.6278,0.3531,0.2609,7
11,0.6331,0.3567,0.2559,7
12,0.6469,0.3642,0.2546,7
13,0.6469,0.3699,0.2515,7
14,0.6479,0.3714,0.2499,7
15,0.6596,0.3803,0.2479,7
16,0.6532,0.3753,0.246,7
17,0.6501,0.3797,0.2459,7
18,0.6522,0.3799,0.2435,7
19,0.6543,0.3758,0.2438,7
20,0.6575,0.3781,0.2432,7
21,0.6596,0.3778,0.2418,7
22,0.6649,0.3814,0.2417,7
23,0.6564,0.3811,0.2409,7
24,0.6617,0.3795,0.2406,7
25,0.6596,0.3806,0.2402,7
26,0.6649,0.3838,0.2408,7
27,0.6607,0.3796,0.239,7
28,0.6617,0.3837,0.2397,7
29,0.6575,0.3811,0.2391,7
30,0.6723,0.3889,0.2389,7
31,0.6628,0.3886,0.2382,7
32,0.6702,0.3892,0.2385,7
33,0.6702,0.3904,0.238,7
34,0.6596,0.3881,0.2379,7
35,0.6607,0.3836,0.2374,7
36,0.6585,0.3833,0.238,7
37,0.667,0.3927,0.2373,7
38,0.667,0.3876,0.2371,7
39,0.6596,0.3885,0.237,7
40,0.6617,0.393,0.2375,7
41,0.6681,0.3958,0.2366,7
42,0.6713,0.3936,0.2366,7
43,0.6713,0.3907,0.2358,7
44,0.6681,0.3905,0.236,7
45,0.666,0.3895,0.2367,7
46,0.6628,0.388,0.2362,7
47,0.6681,0.3905,0.2358,7
48,0.667,0.3914,0.2357,7
49,0.6691,0.3912,0.2357,7
50,0.6638,0.3904,0.235,7
0,0.122,0.0535,,8
1,0.3902,0.2145,0.4623,8
2,0.4231,0.2321,0.3503,8
3,0.4867,0.2712,0.3326,8
4,0.5069,0.2833,0.3154,8
5,0.5366,0.3046,0.3019,8
6,0.562,0.3181,0.2869,8
7,0.5811,0.3284,0.2767,8
8,0.6023,0.3365,0.2694,8
9,0.6235,0.3489,0.2627,8
10,0.6341,0.359,0.2575,8
11,0.6341,0.3627,0.2526,8
12,0.6437,0.3666,0.2502,8
13,0.6501,0.3707,0.2478,8
14,0.6437,0.3676,0.246,8
15,0.6437,0.3715,0.2447,8
16,0.6543,0.3761,0.2425,8
17,0.6554,0.3774,0.2423,8
18,0.6469,0.3762,0.2419,8
19,0.6564,0.3832,0.2405,8
20,0.6501,0.3791,0.2404,8
21,0.6532,0.3826,0.2397,8
22,0.649,0.3831,0.2387,8
23,0.6564,0.3869,0.2395,8
24,0.6511,0.387,0.2392,8
25,0.6416,0.3764,0.2375,8
26,0.6532,0.3819,0.2382,8
27,0.6596,0.3874,0.2378,8
28,0.6638,0.3842,0.2379,8
29,0.6543,0.3839,0.2366,8
30,0.649,0.3834,0.2374,8
31,0.6543,0.3838,0.2365,8
32,0.6628,0.3907,0.2376,8
33,0.6607,0.3886,0.2361,8
34,0.6511,0.3864,0.2363,8
35,0.6522,0.3866,0.236,8
36,0.6575,0.3894,0.236,8
37,0.6532,0.3843,0.2362,8
38,0.6575,0.3843,0.2359,8
39,0.6522,0.3789,0.2354,8
40,0.6532,0.3812,0.2356,8
41,0.6564,0.3887,0.2364,8
42,0.6564,0.3891,0.235,8
43,0.6543,0.3875,0.2358,8
44,0.6617,0.386,0.2344,8
45,0.6479,0.3809,0.234,8
46,0.6564,0.385,0.2345,8
47,0.6607,0.3866,0.2354,8
48,0.6543,0.381,0.2342,8
49,0.6543,0.3871,0.2343,8
50,0.6479,0.3821,0.2342,8
0,0.1029,0.0477,,9
1,0.3924,0.2147,0.4706,9
2,0.4613,0.2649,0.3379,9
