epoch,HR@10,NDCG@10,loss,run
47,0.6416,0.3654,0.2248,3
48,0.6426,0.3705,0.2244,3
49,0.6384,0.3653,0.2238,3
50,0.6437,0.3733,0.2238,3
0,0.0965,0.0445,,4
1,0.3987,0.2204,0.3802,4
2,0.3892,0.2162,0.3534,4
3,0.4517,0.249,0.3491,4
4,0.5228,0.2924,0.3303,4
5,0.5292,0.3001,0.3144,4
6,0.5387,0.3053,0.3081,4
7,0.562,0.3157,0.3022,4
8,0.5737,0.3223,0.2959,4
9,0.5801,0.3254,0.2883,4
10,0.5769,0.3258,0.2826,4
11,0.5864,0.3326,0.278,4
12,0.6076,0.3428,0.2743,4
13,0.6087,0.3435,0.2705,4
14,0.6076,0.3484,0.2673,4
15,0.6023,0.3465,0.265,4
16,0.6235,0.3543,0.2629,4
17,0.6108,0.3466,0.2606,4
18,0.6331,0.3546,0.2581,4
19,0.632,0.3598,0.2564,4
20,0.6394,0.3654,0.2545,4
21,0.632,0.3596,0.2527,4
22,0.6257,0.3663,0.2508,4
23,0.6193,0.3664,0.2495,4
24,0.6267,0.3647,0.2481,4
25,0.6352,0.3656,0.2461,4
26,0.6225,0.3563,0.2454,4
27,0.6193,0.3583,0.2441,4
28,0.6278,0.361,0.2433,4
29,0.6225,0.3597,0.2413,4
30,0.6299,0.3614,0.2402,4
31,0.6161,0.3572,0.2392,4
32,0.6384,0.3664,0.2386,4
33,0.6363,0.3713,0.238,4
34,0.6023,0.3563,0.2365,4
35,0.631,0.3635,0.2355,4
36,0.6257,0.3698,0.2349,4
37,0.6257,0.3688,0.2335,4
38,0.6267,0.3687,0.2328,4
39,0.6257,0.3625,0.2323,4
40,0.6278,0.3647,0.2315,4
41,0.6384,0.3686,0.2311,4
42,0.631,0.367,0.2311,4
43,0.6278,0.3644,0.2297,4
44,0.6278,0.3669,0.2288,4
45,0.6352,0.3729,0.2287,4
46,0.6267,0.366,0.2279,4
47,0.632,0.3698,0.2275,4
48,0.6384,0.3693,0.2269,4
49,0.6394,0.3705,0.2272,4
50,0.6331,0.3697,0.2257,4
0,0.1113,0.0508,,5
1,0.3977,0.2155,0.3817,5
2,0.3924,0.2219,0.3527,5
3,0.4867,0.2763,0.343,5
4,0.5058,0.2813,0.3257,5
5,0.5186,0.2924,0.3142,5
6,0.544,0.3071,0.3061,5
7,0.5652,0.3166,0.2998,5
8,0.5779,0.3242,0.2951,5
9,0.596,0.3356,0.2912,5
10,0.5896,0.3346,0.2873,5
11,0.5992,0.3358,0.2833,5
12,0.5917,0.3343,0.2798,5
13,0.6045,0.3449,0.2763,5
14,0.6108,0.3438,0.2735,5
15,0.6013,0.3462,0.2708,5
16,0.6013,0.3425,0.2691,5
17,0.6193,0.3495,0.2665,5
18,0.6087,0.3511,0.2644,5
19,0.6119,0.3541,0.2622,5
20,0.6129,0.3506,0.2599,5
21,0.6225,0.36,0.2582,5
22,0.614,0.3546,0.2558,5
23,0.6235,0.362,0.2542,5
24,0.6119,0.3559,0.2531,5
25,0.6182,0.3572,0.2514,5
26,0.6235,0.3612,0.2498,5
27,0.6257,0.3644,0.2481,5
28,0.6331,0.3706,0.2469,5
29,0.6225,0.3629,0.2459,5
30,0.6341,0.3714,0.2445,5
31,0.6288,0.3674,0.2441,5
32,0.6405,0.3691,0.2428,5
33,0.6384,0.3733,0.2403,5
34,0.6204,0.3617,0.24,5
35,0.6267,0.3646,0.2382,5
36,0.6341,0.3707,0.2372,5
37,0.6341,0.3699,0.236,5
38,0.6352,0.3757,0.2356,5
39,0.6341,0.3659,0.2343,5
40,0.6331,0.3659,0.2338,5
41,0.6288,0.3612,0.2333,5
42,0.6278,0.3677,0.2327,5
43,0.632,0.3645,0.233,5
44,0.6299,0.3654,0.2308,5
45,0.6341,0.3696,0.2307,5
46,0.6373,0.3696,0.2299,5
47,0.6373,0.3743,0.2287,5
48,0.6341,0.3694,0.2292,5
49,0.632,0.3694,0.2278,5
50,0.631,0.3674,0.2274,5
0,0.0817,0.0354,,6
1,0.3966,0.2194,0.3792,6
2,0.3934,0.226,0.3526,6
3,0.4178,0.2417,0.3496,6
4,0.5186,0.2959,0.3347,6
5,0.5408,0.3041,0.3152,6
6,0.5525,0.3115,0.3059,6
7,0.5705,0.3177,0.2992,6
8,0.5748,0.3255,0.2925,6
9,0.5811,0.3348,0.2855,6
10,0.6002,0.3387,0.2786,6
11,0.6034,0.345,0.2743,6
12,0.6193,0.3501,0.2714,6
13,0.6172,0.3516,0.2681,6
14,0.6108,0.3484,0.2658,6
15,0.6151,0.3511,0.2629,6
16,0.6193,0.3511,0.2618,6
17,0.6151,0.3516,0.2586,6
18,0.6225,0.3538,0.2568,6
19,0.6267,0.3548,0.2547,6
20,0.6352,0.3602,0.2533,6
21,0.6108,0.3598,0.2511,6
22,0.6129,0.3587,0.2501,6
23,0.6172,0.3573,0.249,6
24,0.6108,0.3575,0.2467,6
25,0.6225,0.3635,0.2465,6
26,0.6246,0.3614,0.2446,6
27,0.6278,0.3662,0.2429,6
28,0.6331,0.3641,0.2419,6
29,0.614,0.3566,0.2409,6
30,0.6193,0.3601,0.2399,6
31,0.6225,0.3631,0.2383,6
32,0.6288,0.3693,0.2377,6
33,0.6161,0.3611,0.2372,6
34,0.6278,0.366,0.2369,6
35,0.6172,0.3687,0.235,6
36,0.6235,0.3657,0.2344,6
37,0.6204,0.368,0.2333,6
38,0.6204,0.3636,0.2335,6
39,0.6193,0.3636,0.2322,6
40,0.6214,0.3629,0.2325,6
41,0.6257,0.3721,0.2314,6
42,0.6151,0.3633,0.2312,6
43,0.6225,0.3669,0.2302,6
44,0.6151,0.3614,0.2302,6
45,0.6119,0.3643,0.2296,6
46,0.6098,0.3637,0.2288,6
47,0.6161,0.3633,0.2275,6
48,0.6098,0.3633,0.2271,6
49,0.6108,0.3613,0.2264,6
50,0.6161,0.3629,0.2271,6
0,0.1018,0.0453,,7
1,0.403,0.2205,0.3783,7
2,0.4051,0.226,0.3526,7
3,0.492,0.2826,0.3429,7
4,0.5387,0.31,0.3188,7
5,0.5366,0.3081,0.308,7
6,0.5599,0.321,0.3033,7
7,0.5673,0.3199,0.2985,7
8,0.5631,0.3208,0.2936,7
9,0.5705,0.3279,0.2883,7
10,0.5875,0.3347,0.2842,7
11,0.5981,0.3401,0.2801,7
12,0.5928,0.3369,0.2758,7
13,0.6002,0.3437,0.2719,7
14,0.6119,0.3502,0.268,7
15,0.6098,0.3525,0.2654,7
16,0.6182,0.3525,0.2622,7
17,0.6288,0.3605,0.2597,7
18,0.6299,0.3586,0.2576,7
19,0.6352,0.3603,0.2558,7
20,0.6511,0.3612,0.253,7
21,0.6394,0.3568,0.2508,7
22,0.6469,0.3634,0.249,7
23,0.6437,0.36,0.2466,7
24,0.6437,0.3601,0.2454,7
25,0.6469,0.3637,0.2451,7
26,0.632,0.3595,0.2422,7
27,0.6416,0.3625,0.2419,7
28,0.6554,0.3737,0.2397,7
29,0.649,0.3655,0.2391,7
30,0.6246,0.3593,0.2382,7
31,0.6416,0.3674,0.2371,7
32,0.6373,0.3639,0.2357,7
33,0.6479,0.3725,0.2354,7
34,0.6426,0.3657,0.2342,7
35,0.6416,0.3634,0.2335,7
36,0.6426,0.3674,0.2326,7
37,0.6501,0.3663,0.2315,7
38,0.6469,0.3652,0.2301,7
39,0.6448,0.3702,0.2301,7
40,0.6437,0.3692,0.2295,7
41,0.6416,0.3669,0.2295,7
42,0.6458,0.3733,0.2284,7
43,0.6394,0.3609,0.2271,7
44,0.6437,0.37,0.227,7
45,0.6501,0.3702,0.2255,7
46,0.6511,0.3664,0.2255,7
47,0.6352,0.3646,0.2248,7
48,0.6363,0.361,0.2245,7
49,0.6543,0.3662,0.2234,7
50,0.6352,0.3582,0.2233,7
0,0.0933,0.0422,,8
1,0.3881,0.2134,0.3824,8
2,0.4231,0.2334,0.3501,8
3,0.5058,0.2872,0.3376,8
4,0.527,0.2988,0.3198,8
5,0.5514,0.3105,0.3097,8
6,0.5525,0.3121,0.3017,8
7,0.5748,0.3225,0.2965,8
8,0.5822,0.3341,0.2929,8
9,0.596,0.3351,0.2879,8
10,0.5896,0.3321,0.2846,8
11,0.5896,0.3342,0.2808,8
12,0.6013,0.3406,0.2768,8
13,0.6034,0.3453,0.2736,8
14,0.6002,0.345,0.2703,8
15,0.5917,0.34,0.2669,8
16,0.614,0.3468,0.2653,8
17,0.6193,0.3503,0.2631,8
18,0.6182,0.3546,0.2612,8
