Run,Config,Pretrain,HR@10,NDCG@10
1,1 Layer,0,0.5832,0.332
1,2 Layers,0,0.5875,0.3332
1,3 Layers,0,0.5981,0.3352
1,1 Layer,1,0.5885,0.3308
1,2 Layers,1,0.5896,0.3362
1,3 Layers,1,0.6278,0.3531
